Ticker,Name,EPS,PE,Pearl Score,Sector,Industry
AAPL,Apple Inc.,6.58,38.341946,17.16,Technology,Consumer Electronics
MSFT,Microsoft Corporation,13.66,37.597366,36.33,Technology,Software - Infrastructure
GOOGL,Alphabet Inc.,9.37,27.033085,34.66,Communication Services,Internet Content & Information
AMZN,"Amazon.com, Inc.",6.56,32.47561,20.2,Consumer Cyclical,Internet Retail
NVDA,NVIDIA Corporation,3.52,52.051136,6.76,Technology,Semiconductors
TSLA,"Tesla, Inc.",1.67,263.05988,0.63,Consumer Cyclical,Auto Manufacturers
META,"Meta Platforms, Inc.",27.53,26.041225,105.72,Communication Services,Internet Content & Information
MU,"Micron Technology, Inc.",7.59,26.664032,28.47,Technology,Semiconductors
INTC,Intel Corporation,-4.77,0.0,0.0,Technology,Semiconductors
AMD,"Advanced Micro Devices, Inc.",1.68,138.7381,1.21,Technology,Semiconductors
AVGO,Broadcom Inc.,3.91,89.342705,4.38,Technology,Semiconductors
TXN,Texas Instruments Incorporated,5.47,32.281536,16.94,Technology,Semiconductors
QCOM,QUALCOMM Incorporated,10.36,15.777027,65.67,Technology,Semiconductors
ADBE,Adobe Inc.,16.03,20.789768,77.11,Technology,Software - Application
CRM,"Salesforce, Inc.",6.88,35.331394,19.47,Technology,Software - Application
NFLX,"Netflix, Inc.",23.51,51.014885,46.08,Communication Services,Entertainment
ORCL,Oracle Corporation,4.31,67.589325,6.38,Technology,Software - Infrastructure
CSCO,"Cisco Systems, Inc.",2.55,27.50196,9.27,Technology,Communication Equipment
IBM,International Business Machines,6.19,45.441032,13.62,Technology,Information Technology Services
AMAT,"Applied Materials, Inc.",8.37,26.880527,31.14,Technology,Semiconductor Equipment & Materials
LRCX,Lam Research Corporation,4.15,34.098793,12.17,Technology,Semiconductor Equipment & Materials
KLAC,KLA Corporation,30.32,36.49934,83.07,Technology,Semiconductor Equipment & Materials
REGN,"Regeneron Pharmaceuticals, Inc.",39.65,14.578814,271.97,Healthcare,Biotechnology
VRTX,Vertex Pharmaceuticals Incorpor,14.05,29.666191,47.36,Healthcare,Biotechnology
JNJ,Johnson & Johnson,10.36,18.65058,55.55,Healthcare,Drug Manufacturers - General
PFE,"Pfizer, Inc.",1.89,12.968254,14.57,Healthcare,Drug Manufacturers - General
MRK,"Merck & Company, Inc.",6.49,13.064715,49.68,Healthcare,Drug Manufacturers - General
LLY,Eli Lilly and Company,15.33,52.369865,29.27,Healthcare,Drug Manufacturers - General
UNH,UnitedHealth Group Incorporated,23.11,15.43055,149.77,Healthcare,Healthcare Plans
ABBV,AbbVie Inc.,2.09,109.84211,1.9,Healthcare,Drug Manufacturers - General
TMO,Thermo Fisher Scientific Inc,17.3,31.151445,55.54,Healthcare,Diagnostics & Research
DHR,Danaher Corporation,4.7,44.480854,10.57,Healthcare,Diagnostics & Research
ISRG,"Intuitive Surgical, Inc.",7.18,62.1351,11.56,Healthcare,Medical Instruments & Supplies
HD,"Home Depot, Inc. (The)",14.7,26.659864,55.14,Consumer Cyclical,Home Improvement Retail
LOW,"Lowe's Companies, Inc.",12.19,20.073832,60.73,Consumer Cyclical,Home Improvement Retail
WMT,Walmart Inc.,2.65,40.65283,6.52,Consumer Defensive,Discount Stores
COST,Costco Wholesale Corporation,18.16,51.560024,35.22,Consumer Defensive,Discount Stores
MCD,McDonald's Corporation,11.68,26.377567,44.28,Consumer Cyclical,Restaurants
SBUX,Starbucks Corporation,2.31,36.95238,6.25,Consumer Cyclical,Restaurants
NKE,"Nike, Inc.",1.95,34.548717,5.64,Consumer Cyclical,Footwear & Accessories
UPS,"United Parcel Service, Inc.",6.72,12.858632,52.26,Industrials,Integrated Freight & Logistics
FDX,FedEx Corporation,17.05,13.947215,122.25,Industrials,Integrated Freight & Logistics
CAT,"Caterpillar, Inc.",19.66,26.809767,73.33,Industrials,Farm & Heavy Construction Machinery
DE,Deere & Company,19.17,23.91758,80.15,Industrials,Farm & Heavy Construction Machinery
HON,Honeywell International Inc.,8.79,23.089876,38.07,Industrials,Conglomerates
GE,GE Aerospace,7.02,42.75499,16.42,Industrials,Aerospace & Defense
BA,Boeing Company (The),-16.55,0.0,0.0,Industrials,Aerospace & Defense
LMT,Lockheed Martin Corporation,17.83,27.77061,64.2,Industrials,Aerospace & Defense
RTX,RTX Corporation,4.55,34.714283,13.11,Industrials,Aerospace & Defense
XOM,Exxon Mobil Corporation,7.04,15.943182,44.16,Energy,Oil & Gas Integrated
CVX,Chevron Corporation,7.78,19.676092,39.54,Energy,Oil & Gas Integrated
COP,ConocoPhillips,7.46,11.592494,64.35,Energy,Oil & Gas E&P
